H11,1927.00 ,D:Hitchcock,P:Balcon,"St:Gainsborough, SD:Wardour",sbw,Susp,,,B(Noel Coward) W(Eliot Stannard) C(Claude McDonnell),|,,,,,,,,,,,,,
H12,1927.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Susp,,"theater, England","W(Hitchcock, Alma Reveille) C(Claude McDonnell)",|,,,,,,,,,,,,,
H13,1928.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Susp,,,B(Eden Philpotts) W(Hitchcock) C(J.Cox),|,,,,,,,,,,,,,
H14,1928.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Romt,,,W(Eliot Stannard) B(Walter Mycroft) C(J.Cox),|,,,,,,,,,,,,,
H15,1929.00 ,D:Hitchcock,PN:,"St:BIP, SD:France-Societ\'e des Cin\'e-Romans",col,Susp,H,,"CoD(Thomas Bentley) W(Arthur Wimperis, Randall Faye) M(Eddie Pola, Edward Brandt)) C(J.Cox)",|,,,,,,,,,,,,,
H16,1929.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Susp,H,"csd, Scotland",B(Hall Caine) W(Eliot Stannard) C(J.Cox),|,,,,,,,,,,,,,
H17,1929.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Susp,,"British Museum, London, England","Nt(first sound, added) W(Hitchcock, Benn W. Levy, Charles Bennett) C(J.Cox) Seen(9Apr1990)",|,,,,,,,,,,,,,
H18,1929.00 ,D:none,PN:,St:BIP Elstree,bnw,Musc,,studio,"CoD(Brunel(supervisor), Hitchcock, Andr\'e Charlot, Jack Hulbert, Paul Murray) W(Ivor Novello)",|,,,,,,,,,,,,,
H19,1930.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Susp,H*,"Dublin, Ireland","B(Sean O'Casey) W(Hitchcock, Alma Reville) C(J.Cox)",|,,,,,,,,,,,,,
H20,1930.00 ,D:Hitchcock,"P:J.Maxwell, Alfred Abel: German version","St:BIP Elstree, SD:Wardour",bnw,Myst,H**,"theater, London, England","W(Hitchcock and Alma Reville) B(Clarence Dane, Helen Simpson: Enter Sir John) V(Winifred Ashton) C(J.Cox) Seen(10Apr1990) Er(V)",|,,,,,,,,,,,,,
H21,1931.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Dram,aw,lc,"B(John Galsworthy) W(Hitchcock, Alma Reville) C(J.Cox, Charles Martin) Er(C)",|,,,,,,,,,,,,,
H22,1932.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Susp,,"London, England; Pars, France; Marseille, France; Singapore; ship, Pacific","W(Alma Reville, Val Valentine) B(Dale Collins) C(J.Cox, Charles Martin) Er(C) Seen(16Apr1990) Alt(T:East of Shanghai; USA)",|,,,,,,,,,,,,,
H23,1932.00 ,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Myst,H*,"London, England; train, England; Dover, England","B(Jefferson Farejon) W(Jefferson Farejon, Rodney Auckland) C(J.Cox) Seen(16Apr1990) Er(W)",|,,,,,,,,,,,,,
H24,1932.00 ,D:Hitchcok,P:Hitchcock,"St:BIP Elstree, SD:Wardour",bnw,Susp,,"castle, England","W(Hitchcock,,Jefferson Farejon) B(H.A. Vachell: The Case of Lady Camber) CoD(Benn~Levy)",|,,,,,,,,,,,,,
H25,1933.00 ,D:Hitchcock,PN:Tom Arnold,"St:Lime Grove, SD:G.F.D.",bnw,"Romt,Comd",H,"Vienna, Austria","Nt(least favorite of Hitchcock) M{Johann Strauss~sr., Johann Strauss~jr. W(Alma Reveille, Bolton) Alt(T:Strauss's Great Waltz; USA)",|,,,,,,,,,,,,,
H26,1934.00 ,D:Hitchcock,"P:Balcon, Montagu","St:Gaumont Lime Grove, SD:G.F.D.",bnw,Susp,H***,"St.Moritz, Switzerland; London, England","B(D.B. Wyndham-Lewis, Edwin Greenwood) W(A.R.Rawlinson, Charles Bennett, D.B. Wyndham-Lewis, Edwin Greenwood) M(Arthur Benjamin, Louis~Levy) C(Curt Courant)",|,,,,,,,,,,,,,
H27,1935.00 ,D:Hitchcock,"P:Balcon, Montagu","St:Gaumont Lime Grove, SD:G.F.D.",bnw,Susp,H****,"theater, London, England","W(Charles Bennett, Alma Reveille) M(Louis Levy) B(John Buchan) C(Bernard Knowles)|",,,,,,,,,,,,,,
H28,1936.00 ,D:Hitchcock,"P:Balcon, Montagu","St:Gaumont Lime Grove, SD:G.F.D.",bnw,Susp,,"London, England; chocolate afctory, Switzerland","B(S.Maugham: Ashenden) W(Charles Bennett, Campbell Dixon) C(Bernard Knowles) Er(W)",|,,,,,,,,,,,,,
H29,1936.00 ,D:Hitchcock,"P:Balcon, Montague","St:Lime Grove, SD:G.F.D.",bnw,Susp,H***,"theater, London, England",B(Conrad: The Secret Agent) W(Charles Bennett) C(Bernard Knowles) Alt(T:The Woman Alone; USA),|,,,,,,,,,,,,,
H30,1938.00 ,D:Hitchcock,P:Black,"St:Lime Grove and Pinewood, SD:G.F.D.",bnw,Susp,,,"B(Josephine Tey) C(Bernard Knowles) W(Charles Bennett, Alma Reveille) Alt(T:The Girl Was Young; USA)",|,,,,,,,,,,,,,
H31,1938.00 ,D:Hitchcock,P:Black,"St:Lime Grove Gainsborough, SD:MGM",bnw,Susp,,train; Austria,"B(Ethel Lina White: `The Wheel Spins') C(J.Cox) W(Gilliat, Launder) Seen(11Jul1988) W(Charles Bennett)",|,,,,,,,,,,,,,
H32,1939.00 ,D:Hitchcock,"P:Pommer, Laughton","St:Elstree, SD:Associated British, Paramount",bnw,Dram,W50,"seashore, Cornwall, England","C(Bernard Knowles, Harry Stradling) Er(C)",|,,,,,,,,,,,,,
H33,1940.00 ,D:Hitchcock,P:Selznick,"St:Selznick, SD:U.A.",bnw,Dram,"AA, AAN dir, H****","castle, England","C(George~Barnes; AA) W(Robert E. Sherwood, J.Harrison; AAN) B(Daphne duMaurier) M(Waxman; AAN) Seen(1989) VT(N:HT5) V(Lyle~Wheeler)",|,,,,,,,,,,,,,
H34,1940.00 ,D:Hitchcock,P:Wanger,St:U.A.,bnw,Susp,"H****, AAN","London, England; flying boat, Atlantic; T(1940)","W(Charles Bennett, J.Harrison, James Hilton, Robert Benchley; AAN) B(Vincent Sheehan: `Personal History') C(Mate; AAN) Seen(3Jan1991) VT(N:HT1)",|,,,,,,,,,,,,,
H35,1941.00 ,D:Hitchcock,P:Eddington,St:RKO,bnw,Romt,,"NYC, NY",Seen(23Oct1988) VT(N:HT4) C(Harry Stradling) V(Polglase?),|,,,,,,,,,,,,,
H36,1941.00 ,D:Hitchcock,"P:Raphaelson, Hitchcock",St:RKO,"bnw,cld",Susp,,"mansion, England",C(Harry Stradling) B(Francis Iles) Prof(440K),|,,,,,,,,,,,,,
H37,1942.00 ,D:Hitchcock,"P:F.Lloyd, Skirball",St:Universal,bnw,Susp,H***,"national monuments, WY; statue of liberty, NY",Seen(20Sep1989) C(Valentine) VT(N:HT2),|,,,,,,,,,,,,,
H38,1943.00 ,D:Hitchcock,P:Skirball,St:Universal,bnw,Susp,,"San Rafael, CA; T(1938)","C(Valentine) W(Thornton Wilder) Seen(10Jul1991) M(Tiomkin, Previn, Strauss: Merry Widow Waltz) Nt(two of everything [Rohmer])",|,,,,,,,,,,,,,
H39,1943.00 ,D:Hitchcock,P:MacGowan,St:Fox,bnw,Susp,"H**, AAN dir",sea,"B(John Steinbeck; AAN) W(John Steinbeck, Jo Swerling) C(Glen MacWilliams; AAN) Seen(18Sep1989) VT(N:HT4)",|,,,,,,,,,,,,,
H42,1945.00 ,D:Hitchcock,P:Selznick,"St:Selznick, SD:U.A.",bnw,Susp,"H**, AAN, AAN dir","mental hospital, Vermont","M(Rozsa; AA) C(George~Barnes; AAN) W(Hecht) V(Salvador Dali) B(Francis Beeding: ``The House of Dr.Edwardees'')) Seen(3Dec1989), 15May90",|,,,,,,,,,,,,,
H43,1946.00 ,D:Hitchcock,P:Hitchcock,St:RKO,bnw,Susp,H***,"RioDe Janeiro, Brazil","W(Ben Hecht; AAN) C(Tetzlaff) M(Roy Webb) Seen(20Jan1990, 30Jun1997)",|,,,,,,,,,,,,,
H44,1947.00 ,D:Hitchcock,P:Selznick,"St:Selznick, SD:U.A.",bnw,Susp,H**,"London, England B(Robert Hichens)",W(Selznick) C(Lee Garmes) M(Waxman),|,,,,,,,,,,,,,
H45,1948.00 ,D:Hitchcock,"P:Bernstein, Hitchcock","St:Transatlantic, SD:Warners",\Tcol,Susp,H**,"penthouse, NYC, NY","M(Francis Poulenc: Mouvement Perpetuel) Nt(first color Hitchcock) Nt(all shot in long, 10 minute takes) C(William V. Skall, Valentine) Seen(25Nov1992)",|,,,,,,,,,,,,,
H46,1949.00 ,D:Hitchcock,"P:Bernstein, Hitchcock","St:Transatlantic, MGM British, SD:Warners",\Tcol,Dram,,"Sidney, Australia","W(James Bridie, Hume Cronyn) B(Helen Simpson) C(Jack Cardiff, Ian Craig, David McNeilly) Seen(15May1990)",|,,,,,,,,,,,,,
H47,1950.00 ,D:Hitchcock,"P:Hitchcock, Ahern","St:Elstree, SD:Warners, SL:(\Ge, \GB)",ER(prc),Susp,,"theater, London, England","Nt(filmed in Eng,Ger) C(Wilkie Cooper) Alt(T:Die rote Lola; \Ge)",|,,,,,,,,,,,,,
H48,1951.00 ,D:Hitchcock,P:Hitchcock,St:Warners,bnw,Susp,H***,"Washington, DC; NYC, NY; train; merry-go-round; csd","Seen(10Jun1989, 2Mar1998) C(Burks; AAN) M(Tiomkin) VT(N:HT8) Sy(crossings) B(Patricia Highsmith)",|,,,,,,,,,,,,,
H49,1952.00 ,D:Hitchcock,P:Hitchcock,St:Warners,bnw,Susp,,"theater, Quebec City, Canada",M(:Dies Irae) C(Burks),|,,,,,,,,,,,,,
H50,1954.00 ,D:Hitchcock,P:Hitchcock,St:Warners,\Wcol 3D,Susp,H**,"London, England",M(Tiomkin) C(Burks) Seen(3Dec1989),|,,,,,,,,,,,,,
H51,1954.00 ,D:Hitchcock,P:Hitchcock,St:Paramount,\Tcol,Susp,"H***, AAN dir","town, East","B(Woolrich) C(Burks; AAN) W(J.M.Hayes; AAN) VT(N:HC3; HT8, inc)",|,,,,,,,,,,,,,
H52,1955.00 ,D:Hitchcock,P:Hitchcock,St:Paramount,\Tcol,Susp,aw,"Riviera, France",W(J.M.Hayes) C(Burks) B(David Dodge),|,,,,,,,,,,,,,
H53,1956.00 ,D:Hitchcock,P:Hitchcock,St:Paramount,\Tcol,Susp,,"csd, Vt","Seen(1957), 1989 C(Burks) W(J.M.Hayes)",|,,,,,,,,,,,,,
H57,1956.00 ,D:Hitchcock,P:Hitchcock,St:Paramount,\Tcol,Susp,H*,"Indianapolis, IN; Morocco; Albert Hall, London","VT(N:HT3) C(Burks) M(Bernard Herrman; Jay Livingston, Ray Evans; AA)",|,,,,,,,,,,,,,
H61,1957.00 ,D:Hitchcock,P:Hitchcock,St:Warners,bnw,"Susp,Docu",,USA,"C(Burks) W(John Michael Hayes, Angus McPhail) B(Charles Bennett, D.R. WyndhamLewis)",|,,,,,,,,,,,,,
H65,1958.00 ,D:Hitchcock,"P:Hitchcock, Robert Coleman",St:Paramount,"\Tcol, \Vistavision",Susp,H**,"Nob Hill, S.F., CA; restaurant, Ernie's, S.F., CA; SanJuanBattista, CA","M(Herrmann; ""Liebestod"") C(Burks) V(Henry Bumstead, Saul Bass ""titles"" ) VT(N:HC1)",|,,,,,,,,,,,,,
H69,1959.00 ,D:Hitchcock,P:Hitchcock,St:MGM,\Tcol,Susp,H****,"train, Chicago, IL; plane (Northwest Airlines), US; prarie, IN; national monument, MT",W(Ernest Lehman; AAN) C(Burks),|,,,,,,,,,,,,,
H73,1960.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley, Universal, SD:Paramount",bnw,Susp,"AAN Dir, NFR, Z*","Tucson, AZ; Victorian house, csd","M(Herrmann) R(PG) W(Joseph Stefano) B(Robert~Bloch) C(John L. Russell; AAN) V(Joseph Hurley, Robert Clatworthy; AAN) M(Beeethoven: Eroica) Cost(.8M) Inc(12M) VT(N:HT9, HC2;HT9)",|,,,,,,,,,,,,,
H79,1963.00 ,D:Hitchcock,P:Hitchcock,St:Universal,\Tcol,Susp,H***,"bird shop, S.F., CA; Bodega Bay, CA",W(Evan Hunter) B(Daphne duMaurier) C(Burks) M(Herrmann; sounds only) VT(N:HT5),|,,,,,,,,,,,,,
H80,1964.00 ,D:Hitchcock,P:Hitchcock,St:Universal,col,Susp,,"Philadelphia, PA","B(Winston Graham)Seen(1Sep1988),23Jan89 M(Herrmann) W(J.P. Allen) C(Burks) VT(N:HT9)",|,,,,,,,,,,,,,
H81,1966.00 ,D:Hitchcock,P:Hitchcock,St:Universal,\Tcol,Susp,H**,East Germany,Seen(3Sep1988) M(John Addison) W(Brian Moore) C(John F. Warren) VT(N:HT7D),|,,,,,,,,,,,,,
H82,1969.00 ,D:Hitchcock,P:Hitchcock,St:Universal,\Tcol,Susp,H*,"Moscow, Russia; Denmark; Cuba; Paris, France",B(Leon Uris) W(Sam~Taylor) M(Maurice Jarre) R(PG) C(Jack Hildyard) VT(N:HT11),|,,,,,,,,,,,,,
H83,1972.00 ,D:Hitchcock,P:Hitchcock,St:Pinewood,\Tcol,Susp,H*,"London, England",M(Ron Goodwin) C(Gil Taylor) R(R),|,,,,,,,,,,,,,
H84,1976.00 ,D:Hitchcock,P:Hitchcock,St:Universal,col,Susp,,cemetary,W(E.Lehman) R(PG) C(Leonard J. South) B(Victor Canning),|,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1944: Hitchcock British short Films,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
British short propaganda films directed by Alfred Hitchcock.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
* is unknown,,,,,,,,,,,,,,,,,,,,,,,
H,1944.00 ,D:Hitchcock,prds,st.,p,ct,aw,lc,nt,|,,,,,,,,,,,,,
H40,1944.00 ,D:Hitchcock,PN:Ministry of Inf.,St:Elstree,bnw,Advt,,,Le(short) Er(Elstree?),|,,,,,,,,,,,,,
H41,1944.00 ,D:Hitchcock,PN:Ministry of Inf.,St:Elstree,bnw,Advt,,,Le(short) Nt(not released?) Er(Elstree?),|,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1955: Hitchcock US TV Films,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
US TV films short actually directed by Alfred Hitchcock.,,,,,,,,,,,,,,,,,,,,,,,
All others produced by Hitchcock are listed with their directors.,,,,,,,,,,,,,,,,,,,,,,,
H,1955.00 ,D:Hitchcock,prds,st.,p,ct,aw,lc,nt,|,,,,,,,,,,,,,
H54,1955.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,TV(2Oct1955) Le(30m) W(F.Cockrell) B(Samuel Blas) M(Charles Gounod: Funeral March of the Marionette) VT(N:HQ2),|,,,,,,,,,,,,,
H55,1955.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,"Atlantic City, NJ",TV(13Nov1955) Le(30m) Seen(28Dec1990) VT() W(Louis Pollock),|,,,,,,,,,,,,,
H56,1955.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,W(F.Cockrell) TV(4Dec1955) Le(30m) VT(N:HR2) Seen(10Dec1991) B(Anthony Armstrong),|,,,,,,,,,,,,,
H58,1956.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,,,"TV(4Mar1956) Le(30m) VT(N:HQ7,HQ10?,HR2) Seen(24Jun1991)",|,,,,,,,,,,,,,
H59,1956.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,"TV(30Sep1956) Le(30m) W(Mirian Cotrell) B(John Collier) Seen(5Dec1991) VT(N:HR1,HR2)",|,,,,,,,,,,,,,
H60,1956.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,apartment,"TV(23Dec1956) Le(30m) Seen(1990) VT(N:HR1,HR2)",|,,,,,,,,,,,,,
H62,1957.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,"csd, CA","TV(7Apr1957) Le(30m) Seen(9Dec1991) B(F.J. Smith) W(James Cavanaugh) VT(N:HD1-13,HR1,HR2)",|,,,,,,,,,,,,,
H63,1957.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley, NBC","bnw,TV",Susp,,,Le(1h) TV(30Sep1957) Le(30m) B(Woolrich) W(F.Cockrell),|,,,,,,,,,,,,,
H64,1957.00 ,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,"mansion with kiln, NYC, NY","TV(20Oct1957) Le(30m) W(Sterling Siliphant) VT(N:HR1,HP4,HR3) Seen(9Dec1991) B(Ben Ray Redman)",|,,,,,,,,,,,,,
H66,1958.00 ,D:Hitchcock,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,B(Roald Dahl) TV(13Apr1958) Le(30m),|,,,,,,,,,,,,,
H67,1958.00 ,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,"ship, Atlantic","TV(1Jun1958) Le(30m) B(Roald Dahl) Seen(9Dec1991) VT(N:HR1,HR3)",|,,,,,,,,,,,,,
H68,1958.00 ,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,,TV(5Oct58) Le(30m) B(Roald Dahl) VT(N:HR2),|,,,,,,,,,,,,,
H70,1959.00 ,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,,"TV(3May1959) Le(30m) Seen(5Dec1991) VT(N:HD2-2,HR1,HR2,HS1)",|,,,,,,,,,,,,,
H71,1959.00 ,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,"chicken farm, NZ",TV(27Sep1959) Le(30m) Seen(9Dec1991) B(Arthur Willis) W(James Cavanaugh) VT(N:HR1),|,,,,,,,,,,,,,
H72,1959.00 ,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,"glacier, Switzerland","TV(4Oct1959) Le(30m) Seen(Nov1988) VT(N:HR1,HR2) B(A.E.W. Mason) W(Siliphant)",|,,,,,,,,,,,,,
H74,1960.00 ,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley,NBC","bnw,TV",Susp,,,Le(1h) TV(5Apr1960),|,,,,,,,,,,,,,
H75,1960.00 ,D:Hitchcock,"P:Hitchcock, J.Harrison","St:Shamley, NBC","bnw,TV",Susp,,dentist's office,TV(27Sep1960) Le(30m) B(Roald Dahl) Seen(10Dec1991) VT(N:HR1),|,,,,,,,,,,,,,
H76,1961.00 ,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,"Church, town, USA",TV(14Mar1961) Le(30m) B(W(Henry Slesar)) Seen(10Dec1991) VT(N:HR1),|,,,,,,,,,,,,,
H77,1961.00 ,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,"suburb, USA",TV(17Oct1961) Le(30m) VT(N:HR2?1) Seen(8Dec1991),|,,,,,,,,,,,,,
H78,1962.00 ,D:Hitchcock,"P:Hitchcock,J.Harrison","St:Shamley,CBS","bnw,TV",Susp,,,TV(11Oct1962) Le(1h),|,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Other Interesting Movies,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Arranged by director, year. Directors are listed in chronological order using date of first movie directed.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"[MO] seen at Musee d'Orsay, Paris 1987",,,,,,,,,,,,,,,,,,,,,,,
"[AM] at Musee d'Arts et Metiers, Paris 1987",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1800: Historical Interesting Movies,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Directors starting 1900 or before,,,,,,,,,,,,,,,,,,,,,,,
WKD,1893.00 ,D:Dickson,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
WKD10,1893.00 ,D:,Dickson,PN:Thomas A. Edison,St:Edison,bws,Docu,aw,lc,,|,,,,,,,,,,,,
WKD50,1901.00 ,D:Dickson,PN:Thomas A. Edison,St:Edison,bws,Comd,aw,lc,,|,,,,,,,,,,,,,
ALu,1895.00 ,D:A.Lumiere,prds,st.,p,ct,aw,lc,Nt(first ever),|,,,,,,,,,,,,,
ALu1,1895.00 ,D:A.Lumiere,P:A.Lumiere,St:Lumiere,bws,,,"Paris, France",Le(1min) Seen([MO]) Nt(text only),|,,,,,,,,,,,,,
ALu2,1895.00 ,D:A.Lumiere,PN:,St:Lumiere,sbw,Docu,,"Lyon, France",Le(30sec) Seen([MO]),|,,,,,,,,,,,,,
ALu3,1895.00 ,D:A.Lumiere,PN:,St:Lumiere,sbw,Docu,,"Ciatat, Frnace",Le(30sec) Seen([MO]),|,,,,,,,,,,,,,
ALu4,1895.00 ,D:A.Lumiere,PN:,St:Lumiere,,,,,Le(30sec) Seen([MO]),|,,,,,,,,,,,,,
ALu5,1895.00 ,D:A.Lumiere,PN:,St:Lumiere,,Comd,,"graden, France",Le(30sec) Seen([MO]) (The Gardener),|,,,,,,,,,,,,,
ALu6,1895.00 ,D:A.Lumiere,PN:,St:Lumiere,,Docu,,,Le(30sec) Seen([MO]),|,,,,,,,,,,,,,
ALu7,1895.00 ,D:A.Lumiere,PN:,St:Lumiere,,,,,Le(30sec) Seen([MO]),|,,,,,,,,,,,,,
ALu30,1908.00 ,D:A.Lumiere,PN:,St:Lumiere,,Actn,,"Castle, France",Le(15min) Seen([MO]) M(SaintSaens: Danse Macabre),|,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1886: Early Movies,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Directors starting 1896,,,,,,,,,,,,,,,,,,,,,,,
ESP,1896.00 ,D:E.S.Porter,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
ESP9,1902.00 ,D:E.S.Porter,P:,St:Edison,bws,Comd,,,C(E.S.Porter) Le(10min),|,,,,,,,,,,,,,
ESP10,1902.00 ,D:E.S.Porter,P:,St:Edison,bws,Comd,,,C(E.S.Porter) Le(18min),|,,,,,,,,,,,,,
ESP11,1903.00 ,D:E.S.Porter,P:,St:Edison,bws,West,,,C(E.S.Porter) Le(7min),|,,,,,,,,,,,,,
ESP12,1903.00 ,D:E.S.Porter,P:,St:Edison,bws,West,H***,"train, West",C(E.S.Porter) W(E.S.Porter) Nt(first West) Le(11min),|,,,,,,,,,,,,,
ESP16,1905.00 ,D:E.S.Porter,P:,St:Edison,bws,,,"train, USA",Le(18min),|,,,,,,,,,,,,,
ESP17,1905.00 ,D:E.S.Porter,P:,St:Edison,bws,,,,Le(15min),|,,,,,,,,,,,,,
ESP25,1912.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,,,C(E.S.Porter) Le(70min),|,,,,,,,,,,,,,
ESP26,1912.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,,,Cost(50K),|,,,,,,,,,,,,,
ESP27,1912.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,,,Cost(50K),|,,,,,,,,,,,,,
ESP28,1912.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,,,Cost(50K),|,,,,,,,,,,,,,
ESP30,1913.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,,,,,|,,,,,,,,,,,,,
ESP31,1913.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,,,,,|,,,,,,,,,,,,,
ESP32,1913.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,,,,,|,,,,,,,,,,,,,
ESP33,1913.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,,,,,|,,,,,,,,,,,,,
ESP34,1913.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,,,,,|,,,,,,,,,,,,,
ESP40,1914.00 ,D:E.S.Porter,P:Zukor,St:Famous,bws,Dram,,,B(Grace Miller White) W(E.S.Porter) Cost(13K) Inc(1M+),|,,,,,,,,,,,,,
GMz,1896.00 ,D:Melies,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
GMs1,1896.00 ,D:Melies,PN:,SL:\Fr,sbw,,,"chez Robert Houdin, Paris, France",Nt(first movie with actors) Alt(T:Une Partie de Cartes; later),|,,,,,,,,,,,,,
GMs2,1900.00 ,D:Melies,PN:,SL:\Fr,sbw,,|,,,,,,,,,,,,,,,,
GMs4,1900.00 ,D:Melies,PN:,SL:\Fr,,Fant,|,,,,,,,,,,,,,,,,
